product_id,title,product_description,category,rating,ratings_count,initial_price,discount,final_price,total_amount,seller_name,currency
8376765,Lino Perros,Women Navy Blue Solid Backpack,backpacks,3.8,15,3995,58.0,3995.0,2317.1,Unknown Seller,INR
9136281,Tommy Hilfiger,Unisex Navy Blue Striped Backpack,backpacks,4.5,67,2899,35.0,2899.0,1014.65,Unknown Seller,INR
17633752,Lavie,Aries Women Pink Mini Backpack,backpacks,4.4,226,2999,65.0,2999.0,1949.35,Unknown Seller,INR
1376949,F Gear,Unisex Navy & Grey Printed Burner Backpack,backpacks,4.4,1052,1675,52.0,1675.0,871.0,Unknown Seller,INR
13939916,MYTRIDENT,Men Blue Solid Bath Robe,bath-robe,4.7,12,2899,17.0,2899.0,492.83,Unknown Seller,INR
17198778,H&M,Beige & Tan Solid Stoneware Soap Dispenser,bathroom-accessories,4.5,42,1399,56.0,1399.0,783.44,H &███Hen███ & █████████eta█████████████████████,INR
19851824,AVI Living,Grey Solid 500 GSM Pure Cotton Bath Towel,bath-towels,4.0,5,1399,65.0,1399.0,909.35,Unknown Seller,INR
18602872,My Room,Yellow & Green Floral 140 TC King Bedsheet with 2 Pillow Covers,bedsheets,4.7,10,2999,54.0,2999.0,1619.46,Unknown Seller,INR
18602850,My Room,Ethnic Print 144 TC Super King Bedsheet with 2 Pillow Covers,bedsheets,4.5,22,2999,54.0,2999.0,1619.46,Unknown Seller,INR
8961147,Story@home,Pink & White Floral 160 TC Cotton 1 King Bedsheet with 2 Pillow Covers,bedsheets,3.7,7,2199,53.0,2199.0,1165.47,Unknown Seller,INR
8430275,MYTRIDENT,Sea Green Floral Flat 120 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,bedsheets,4.4,26,2199,46.0,2199.0,1011.54,Unknown Seller,INR
18346118,Arrabi,Pink & White Graphic 300 TC King Bedsheet with 2 Pillow Covers,bedsheets,0.0,0,3329,74.0,865.0,2463.46,Sig███Ove███as,INR
18327434,BELLA CASA,Unisex Blue Bedsheets,bedsheets,0.0,0,1499,73.0,404.0,1094.27,Bel███Cas███ash█████████ail█████████,INR
18492504,ROMEE,Blue & Beige Conversational 160 TC King Bedsheet with 2 Pillow Covers,bedsheets,3.9,10,3499,65.0,3499.0,2274.35,Unknown Seller,INR
13729978,DDecor,White & Brown Floral 350 TC Cotton 1 King Bedsheet with 2 Pillow Covers,bedsheets,3.6,15,1599,20.0,1599.0,319.8,Unknown Seller,INR
19788630,Home Ecstasy,140tc Pure Cotton printed Teal Blue Single Bedsheet with 1 Pillow Cover,bedsheets,4.5,6,1199,42.0,1199.0,503.58,Unknown Seller,INR
20296382,DREAM WEAVERZ,Grey & Coral Printed 220 TC Glazed Cotton King Bedsheet with 2 Pillow Covers,bedsheets,3.8,18,2599,78.0,2599.0,2027.22,Unknown Seller,INR
18346134,Arrabi,Pink & Grey Striped 300 TC King Cotton Bedsheet With 2 Pillow Covers,bedsheets,4.3,12,6329,76.0,6329.0,4810.04,Unknown Seller,INR
22409156,Kastner,Women Textured Tang Slim Belt,belts,3.8,9,1399,84.0,223.0,1175.16,Kas███r L███her█████████Pvt██████,INR
18985918,Tommy Hilfiger,Women Navy Blue Embroidered High-Neck Pure Cotton Bodysuit,bodysuit,4.1,11,2999,40.0,1799.0,1199.6,PVH███VIN███ASH█████████TE ███████████████,INR
22120138,Ed-a-Mamma Baby,Infant Boys Pack Of 2 Printed Pure Cotton Bodysuit,bodysuit,4.2,5,999,30.0,699.0,299.7,ETE███LIA███EAT█████████CHA█████████████████████ED,INR
1728397,Mactree,Men Brown Solid Mid-Top Flat Boots,boots,3.9,1727,9060,88.0,1087.0,7972.8,MAX███ IN███NAT██████,INR
21427828,London Rag,Women Stiletto Heeled High-Top Boots,boots,5.0,4,9599,60.0,3839.0,5759.4,VOL███FAS███N P█████████,INR
17372928,The Souled Store,Men Blue & White Abstract Printed Boxers,boxers,4.5,22,799,54.0,367.0,431.46,THE███ULE███TOR█████████D.,INR
15115018,Jockey,Non-Wired Non-Padded Combed Cotton Workout Bra 1376-0105,bra,4.4,1582,579,56.0,579.0,324.24,Tru███m R███il,INR
22063882,GROVERSONS Paris Beauty,Non Padded Cotton Seamless Non-Wired T-shirt Bra,bra,4.0,25,399,25.0,299.0,99.75,Gro███son███ppa█████████Ltd███,INR
19219450,Susie,Black Solid Cotton T-Shirt Bra - Anti-Odour,bra,4.3,12,749,50.0,374.0,374.5,GEN███AD ███AIL█████████LIM██████,INR
22196924,Zivame,Underwired Lightly Padded Pushup Bra,bra,4.3,118,999,50.0,499.0,499.5,MIL███AR ███AIL█████████LIM██████,INR
19219468,Susie,Women  Black Solid Everyday Cotton Bra,bra,4.0,6,699,43.0,398.0,300.57,GEN███AD ███AIL█████████LIM██████,INR
22278620,Tweens,Pack Of 2 Non Padded Medium Support All Day Comfort Slip-On Seamless Bra,bra,0.0,0,720,16.0,604.0,115.2,Bel███Lin███ies█████████.,INR
19277544,Marks & Spencer,BOUTIQUE X DAMARIS Navy Blue Underwired Lightly Padded Balconette Bra,bra,4.3,24,2999,60.0,2249.0,1799.4,Ret███Net███,INR
18223842,max,Plus Size Non Padded Bra,bra,4.1,37,449,20.0,449.0,89.8,Unknown Seller,INR
18656766,VStar,Beige Solid T-Shirt Bra,bra,4.6,5,345,56.0,345.0,193.2,V S███ CR███ION█████████,INR
18656764,VStar,Grey Solid T-Shirt Bra,bra,4.3,6,345,56.0,345.0,193.2,V S███ CR███ION█████████,INR
13523458,shyaway,Multicoloured Set of 3 Printed Underwired Lightly Padded Everyday Bra shya-com-217,bra,4.3,6,2547,52.0,2547.0,1324.44,Unknown Seller,INR
18652628,max,Sea Green & Blue Floral Bra Lightly Padded SU22PDNW08MIST,bra,4.2,5,649,20.0,649.0,129.8,Unknown Seller,INR
17774350,Zivame,Pink Lightly Padded T-shirt Bra,bra,4.2,9,995,50.0,995.0,497.5,Unknown Seller,INR
16704504,ZINU,Women Silver-Toned Brass Cubic Zirconia Rhodium-Plated Charm Bracelet,bracelet,4.1,7,699,45.0,384.0,314.55,SAN███UNE███,INR
21873792,KARATCART,Cubic Zirconia Silver-Plated Wraparound Bracelet,bracelet,4.6,5,3397,76.0,815.0,2581.72,KOK███V G███AL █████████,INR
21573578,Jewels Galaxy,Women Brass Gold-Plated Bangle-Style Bracelet,bracelet,4.2,24,1329,77.0,305.0,1023.33,RS ███els███,INR
18100576,MINUTIAE,Women Gold-Toned & White Brass Crystals Handcrafted Gold-Plated Bangle-Style Bracelet,bracelet,3.2,13,1499,70.0,1499.0,1049.3,Unknown Seller,INR
